event_id,date,event_type,event_group,description,event_regime,is_core_sample,is_pandemic_period,is_post_pandemic,include_in_primary_analysis
E01,2018-03-22,tariff_announcement,escalation,US announces Section 301 tariff action on Chinese imports,core,True,False,False,True
E02,2018-04-06,tariff_announcement,escalation,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True
E03,2018-06-15,tariff_announcement,escalation,USTR finalizes 25 percent tariffs on 50 billion dollars of Chinese goods,core,True,False,False,True
E04,2018-07-06,tariff_implementation,escalation,First tranche of bilateral tariffs enters into force,core,True,False,False,True
E05,2018-07-11,tariff_announcement,escalation,USTR proposes tariffs on an additional 200 billion dollars of Chinese goods,core,True,False,False,True
E06,2018-08-23,tariff_implementation,escalation,Second tranche of bilateral tariffs enters into force,core,True,False,False,True
E07,2018-09-24,tariff_implementation,escalation,US implements tariffs on 200 billion dollars of Chinese imports,core,True,False,False,True
E08,2018-12-19,suspension,relief,US postpones scheduled increase of tariffs,core,True,False,False,True
E09,2019-03-05,suspension,relief,US extends suspension of tariff increase,core,True,False,False,True
E10,2019-05-10,tariff_increase,escalation,US raises tariffs from 10 percent to 25 percent,core,True,False,False,True
E11,2019-08-20,tariff_announcement,escalation,USTR formalizes new tariffs on Chinese imports,core,True,False,False,True
E12,2019-08-30,tariff_increase,escalation,US raises planned tariff rate,core,True,False,False,True
E13,2019-09-01,tariff_implementation,escalation,New tariffs enter into force,core,True,False,False,True
E14,2019-12-13,agreement,relief,Phase One agreement announced,core,True,False,False,True
E15,2019-12-18,suspension,relief,US suspends planned tariffs,core,True,False,False,True
E16,2020-01-15,agreement,relief,Phase One agreement signed,core,True,False,False,True
E17,2020-02-14,tariff_reduction,relief,US reduces tariffs,core,True,False,False,True
