event_group,window_label,sign_label,event_count,total_events,event_share,neutral_threshold
escalation,m1_p1,negative,5,11,0.45454545454545453,0.005
escalation,m1_p1,neutral,2,11,0.18181818181818182,0.005
escalation,m1_p1,positive,4,11,0.36363636363636365,0.005
escalation,m3_p3,negative,3,11,0.2727272727272727,0.005
escalation,m3_p3,neutral,1,11,0.09090909090909091,0.005
escalation,m3_p3,positive,7,11,0.6363636363636364,0.005
escalation,m5_p5,negative,3,11,0.2727272727272727,0.005
escalation,m5_p5,neutral,1,11,0.09090909090909091,0.005
escalation,m5_p5,positive,7,11,0.6363636363636364,0.005
relief,m1_p1,negative,3,6,0.5,0.005
relief,m1_p1,neutral,1,6,0.16666666666666666,0.005
relief,m1_p1,positive,2,6,0.3333333333333333,0.005
relief,m3_p3,negative,2,6,0.3333333333333333,0.005
relief,m3_p3,neutral,1,6,0.16666666666666666,0.005
relief,m3_p3,positive,3,6,0.5,0.005
relief,m5_p5,negative,3,6,0.5,0.005
relief,m5_p5,positive,3,6,0.5,0.005
