sample,window,threshold,n_positive,n_neutral,n_negative,n_total,share_positive,share_negative
full (N=24),"[-1,+1]",0.25%,9,4,11,24,0.375,0.4583
escalation (N=13),"[-1,+1]",0.25%,5,2,6,13,0.3846,0.4615
relief (N=10),"[-1,+1]",0.25%,4,2,4,10,0.4,0.4
full (N=24),"[-1,+1]",0.50%,8,7,9,24,0.3333,0.375
escalation (N=13),"[-1,+1]",0.50%,4,3,6,13,0.3077,0.4615
relief (N=10),"[-1,+1]",0.50%,4,3,3,10,0.4,0.3
full (N=24),"[-1,+1]",0.75%,6,13,5,24,0.25,0.2083
escalation (N=13),"[-1,+1]",0.75%,4,6,3,13,0.3077,0.2308
relief (N=10),"[-1,+1]",0.75%,2,6,2,10,0.2,0.2
full (N=24),"[-3,+3]",0.25%,13,2,9,24,0.5417,0.375
escalation (N=13),"[-3,+3]",0.25%,7,2,4,13,0.5385,0.3077
relief (N=10),"[-3,+3]",0.25%,6,0,4,10,0.6,0.4
full (N=24),"[-3,+3]",0.50%,12,5,7,24,0.5,0.2917
escalation (N=13),"[-3,+3]",0.50%,7,2,4,13,0.5385,0.3077
relief (N=10),"[-3,+3]",0.50%,5,2,3,10,0.5,0.3
full (N=24),"[-3,+3]",0.75%,11,6,7,24,0.4583,0.2917
escalation (N=13),"[-3,+3]",0.75%,7,2,4,13,0.5385,0.3077
relief (N=10),"[-3,+3]",0.75%,4,3,3,10,0.4,0.3
full (N=24),"[-5,+5]",0.25%,14,1,9,24,0.5833,0.375
escalation (N=13),"[-5,+5]",0.25%,8,1,4,13,0.6154,0.3077
relief (N=10),"[-5,+5]",0.25%,6,0,4,10,0.6,0.4
full (N=24),"[-5,+5]",0.50%,13,2,9,24,0.5417,0.375
escalation (N=13),"[-5,+5]",0.50%,8,1,4,13,0.6154,0.3077
relief (N=10),"[-5,+5]",0.50%,5,1,4,10,0.5,0.4
full (N=24),"[-5,+5]",0.75%,13,3,8,24,0.5417,0.3333
escalation (N=13),"[-5,+5]",0.75%,8,1,4,13,0.6154,0.3077
relief (N=10),"[-5,+5]",0.75%,5,1,4,10,0.5,0.4
